Modified DAgger (KDE + Action Noise) Training Results
Expert Performance: Reward=38.65, Avg Falls=0.0
Training Time: 0:08:02.240699
Total Samples: 2000

Hyperparameters:
  Expert mixing prob (β): 0.1
  Action noise prob (α): 0.2
  Action noise std (σ): 0.1
  KDE threshold: 0.1
  KDE bandwidth: 0.5

Student Performance per Iteration:
Iteration | Reward | Avg Falls | Filter Ratio | Avg Density
----------|--------|----------|-------------|-------------
        1 |   7.10 |      0.0 |       0.00% |       0.0000
        2 |   6.34 |      0.0 |       0.00% |       0.0000
        3 |   7.05 |      0.0 |       0.00% |       0.0000
        4 |  13.29 |      0.0 |       0.00% |       0.0000
        5 |  21.96 |      0.0 |       0.00% |       0.0000
        6 |  24.02 |      0.0 |       0.00% |       0.0000
        7 |  29.62 |      0.0 |       0.00% |       0.0000
        8 |  28.61 |      0.0 |       0.00% |       0.0000
        9 |  30.66 |      0.0 |       0.00% |       0.0000
       10 |  38.38 |      0.0 |       0.00% |       0.0000
       11 |  32.89 |      0.0 |       0.00% |       0.0000
       12 |  32.07 |      0.0 |       0.00% |       0.0000
       13 |  34.95 |      0.0 |       0.00% |       0.0000
       14 |  37.72 |      0.0 |       0.00% |       0.0000
       15 |  41.61 |      0.0 |       0.00% |       0.0000
       16 |  40.83 |      0.0 |       0.00% |       0.0000
       17 |  38.78 |      0.0 |       0.00% |       0.0000
       18 |  38.26 |      0.0 |       0.00% |       0.0000
       19 |  35.10 |      0.0 |       0.00% |       0.0000
       20 |  40.25 |      0.0 |       0.00% |       0.0000
