Modified DAgger (KDE + Action Noise) Training Results
Expert Performance: Reward=37.64, Avg Falls=0.0
Training Time: 0:07:45.759394
Total Samples: 2000

Hyperparameters:
  Expert mixing prob (β): 0.1
  Action noise prob (α): 0.2
  Action noise std (σ): 0.1
  KDE threshold: 0.1
  KDE bandwidth: 0.5

Student Performance per Iteration:
Iteration | Reward | Avg Falls | Filter Ratio | Avg Density
----------|--------|----------|-------------|-------------
        1 |   6.41 |      0.0 |       0.00% |       0.0000
        2 |   8.08 |      0.0 |       0.00% |       0.0116
        3 |   7.17 |      0.0 |       0.00% |       0.0170
        4 |  12.73 |      0.0 |       0.00% |       0.0193
        5 |  21.30 |      0.0 |       0.00% |       0.0186
        6 |  27.50 |      0.0 |       0.00% |       0.0140
        7 |  31.83 |      0.0 |       0.00% |       0.0128
        8 |  30.76 |      0.0 |       0.00% |       0.0021
        9 |  30.81 |      0.0 |       0.00% |       0.0145
       10 |  39.06 |      0.0 |       0.00% |       0.0115
       11 |  33.08 |      0.0 |       0.00% |       0.0105
       12 |  34.62 |      0.0 |       0.00% |       0.0109
       13 |  36.05 |      0.0 |       0.00% |       0.0173
       14 |  32.45 |      0.0 |       0.00% |       0.0104
       15 |  34.54 |      0.0 |       0.00% |       0.0112
       16 |  38.55 |      0.0 |       0.00% |       0.0119
       17 |  39.07 |      0.0 |       0.00% |       0.0094
       18 |  36.45 |      0.0 |       0.00% |       0.0091
       19 |  39.65 |      0.0 |       0.00% |       0.0103
       20 |  39.33 |      0.0 |       0.00% |       0.0091
