Modified DAgger (KDE + Action Noise) Training Results
Expert Performance: Reward=36.75, Avg Falls=0.0
Training Time: 0:08:08.272760
Total Samples: 2000

Hyperparameters:
  Expert mixing prob (β): 0.1
  Action noise prob (α): 0.2
  Action noise std (σ): 0.1
  KDE threshold: 0.08
  KDE bandwidth: 0.4

Student Performance per Iteration:
Iteration | Reward | Avg Falls | Filter Ratio | Avg Density
----------|--------|----------|-------------|-------------
        1 |   8.06 |      0.0 |       0.00% |       0.0000
        2 |   7.24 |      0.0 |       0.00% |       0.0000
        3 |   7.14 |      0.0 |       0.00% |       0.0000
        4 |  14.78 |      0.0 |       0.00% |       0.0000
        5 |  21.08 |      0.0 |       0.00% |       0.0000
        6 |  22.86 |      0.0 |       0.00% |       0.0000
        7 |  29.74 |      0.0 |       0.00% |       0.0000
        8 |  29.57 |      0.0 |       0.00% |       0.0000
        9 |  36.91 |      0.0 |       0.00% |       0.0000
       10 |  32.30 |      0.0 |       0.00% |       0.0000
       11 |  33.56 |      0.0 |       0.00% |       0.0000
       12 |  35.68 |      0.0 |       0.00% |       0.0000
       13 |  39.58 |      0.0 |       0.00% |       0.0000
       14 |  38.72 |      0.0 |       0.00% |       0.0000
       15 |  36.63 |      0.0 |       0.00% |       0.0000
       16 |  37.89 |      0.0 |       0.00% |       0.0000
       17 |  36.13 |      0.0 |       0.00% |       0.0000
       18 |  35.62 |      0.0 |       0.00% |       0.0000
       19 |  36.33 |      0.0 |       0.00% |       0.0000
       20 |  37.66 |      0.0 |       0.00% |       0.0000
