Modified DAgger (KDE + Action Noise) Training Results
Expert Performance: Reward=37.32, Avg Falls=0.0
Training Time: 0:15:51.463470
Total Samples: 1420

Hyperparameters:
  Expert mixing prob (β): 0.1
  Action noise prob (α): 0.2
  Action noise std (σ): 0.1
  KDE threshold: 0.08
  KDE bandwidth: 0.4

Student Performance per Iteration:
Iteration | Reward | Avg Falls | Filter Ratio | Avg Density
----------|--------|----------|-------------|-------------
        1 |   6.82 |      0.0 |       0.00% |       0.0000
        2 |   8.26 |      0.0 |      64.00% |       0.2694
        3 |   8.16 |      0.0 |      70.00% |       0.1990
        4 |   6.97 |      0.0 |      71.00% |       0.1410
        5 |   6.98 |      0.0 |      87.00% |       0.1675
        6 |  13.89 |      0.0 |      78.00% |       0.1774
        7 |  20.82 |      0.0 |      85.00% |       0.1507
        8 |  23.60 |      0.0 |      93.00% |       0.1402
        9 |  24.41 |      0.0 |      67.00% |       0.1218
       10 |  28.13 |      0.0 |      61.00% |       0.0830
       11 |  26.22 |      0.0 |      66.00% |       0.1142
       12 |  29.24 |      0.0 |      66.00% |       0.1100
       13 |  29.45 |      0.0 |      58.00% |       0.0830
       14 |  31.33 |      0.0 |      73.00% |       0.0975
       15 |  34.29 |      0.0 |      49.00% |       0.0860
       16 |  34.48 |      0.0 |      60.00% |       0.0842
       17 |  35.76 |      0.0 |      20.00% |       0.0633
       18 |  34.37 |      0.0 |      40.00% |       0.0982
       19 |  35.14 |      0.0 |      66.00% |       0.1020
       20 |  36.38 |      0.0 |      48.00% |       0.0681
       21 |  36.06 |      0.0 |      71.00% |       0.1002
       22 |  38.32 |      0.0 |      75.00% |       0.1202
       23 |  34.91 |      0.0 |      80.00% |       0.0866
       24 |  36.63 |      0.0 |      76.00% |       0.1061
       25 |  35.81 |      0.0 |      74.00% |       0.0944
       26 |  35.01 |      0.0 |      60.00% |       0.1007
       27 |  33.39 |      0.0 |      64.00% |       0.0938
       28 |  39.21 |      0.0 |      77.00% |       0.0979
       29 |  30.12 |      0.0 |      63.00% |       0.0865
       30 |  35.07 |      0.0 |      64.00% |       0.0904
       31 |  37.31 |      0.0 |      70.00% |       0.0810
       32 |  37.27 |      0.0 |      72.00% |       0.0902
       33 |  40.09 |      0.0 |      78.00% |       0.1037
       34 |  39.07 |      0.0 |      74.00% |       0.1033
       35 |  35.31 |      0.0 |      66.00% |       0.0829
       36 |  39.20 |      0.0 |      56.00% |       0.0736
       37 |  38.59 |      0.0 |      73.00% |       0.1086
       38 |  36.27 |      0.0 |      76.00% |       0.0874
       39 |  36.71 |      0.0 |      50.00% |       0.0756
       40 |  36.88 |      0.0 |      39.00% |       0.0731
