Modified DAgger (KDE + Action Noise) Training Results
Expert Performance: Reward=38.63, Avg Falls=0.0
Training Time: 0:16:03.175794
Total Samples: 4000

Hyperparameters:
  Expert mixing prob (β): 0.1
  Action noise prob (α): 0.2
  Action noise std (σ): 0.1
  KDE threshold: 0.08
  KDE bandwidth: 0.4

Student Performance per Iteration:
Iteration | Reward | Avg Falls | Filter Ratio | Avg Density
----------|--------|----------|-------------|-------------
        1 |   6.56 |      0.0 |       0.00% |       0.0000
        2 |   6.69 |      0.0 |       0.00% |       0.0000
        3 |   6.84 |      0.0 |       0.00% |       0.0000
        4 |  13.72 |      0.0 |       0.00% |       0.0000
        5 |  19.83 |      0.0 |       0.00% |       0.0000
        6 |  26.38 |      0.0 |       0.00% |       0.0000
        7 |  32.23 |      0.0 |       0.00% |       0.0000
        8 |  32.28 |      0.0 |       0.00% |       0.0000
        9 |  36.15 |      0.0 |       0.00% |       0.0000
       10 |  34.87 |      0.0 |       0.00% |       0.0000
       11 |  35.54 |      0.0 |       0.00% |       0.0000
       12 |  34.88 |      0.0 |       0.00% |       0.0000
       13 |  39.14 |      0.0 |       0.00% |       0.0000
       14 |  37.98 |      0.0 |       0.00% |       0.0000
       15 |  37.55 |      0.0 |       0.00% |       0.0000
       16 |  40.79 |      0.0 |       0.00% |       0.0000
       17 |  39.87 |      0.0 |       0.00% |       0.0000
       18 |  36.93 |      0.0 |       0.00% |       0.0000
       19 |  41.23 |      0.0 |       0.00% |       0.0000
       20 |  37.94 |      0.0 |       0.00% |       0.0000
       21 |  37.88 |      0.0 |       0.00% |       0.0000
       22 |  44.40 |      0.0 |       0.00% |       0.0000
       23 |  34.92 |      0.0 |       0.00% |       0.0000
       24 |  36.01 |      0.0 |       0.00% |       0.0000
       25 |  41.43 |      0.0 |       0.00% |       0.0000
       26 |  34.12 |      0.0 |       0.00% |       0.0000
       27 |  39.17 |      0.0 |       0.00% |       0.0000
       28 |  39.09 |      0.0 |       0.00% |       0.0000
       29 |  39.35 |      0.0 |       0.00% |       0.0000
       30 |  38.09 |      0.0 |       0.00% |       0.0000
       31 |  39.99 |      0.0 |       0.00% |       0.0000
       32 |  38.48 |      0.0 |       0.00% |       0.0000
       33 |  36.09 |      0.0 |       0.00% |       0.0000
       34 |  42.44 |      0.0 |       0.00% |       0.0000
       35 |  39.31 |      0.0 |       0.00% |       0.0000
       36 |  38.52 |      0.0 |       0.00% |       0.0000
       37 |  35.86 |      0.0 |       0.00% |       0.0000
       38 |  38.37 |      0.0 |       0.00% |       0.0000
       39 |  37.55 |      0.0 |       0.00% |       0.0000
       40 |  36.87 |      0.0 |       0.00% |       0.0000
