Modified DAgger (KDE + Action Noise) Training Results
Expert Performance: Reward=38.12, Avg Falls=0.0
Training Time: 0:16:22.249590
Total Samples: 4000

Hyperparameters:
  Expert mixing prob (β): 0.1
  Action noise prob (α): 0.0
  Action noise std (σ): 0.1
  KDE threshold: 0.08
  KDE bandwidth: 0.4

Student Performance per Iteration:
Iteration | Reward | Avg Falls | Filter Ratio | Avg Density
----------|--------|----------|-------------|-------------
        1 |   6.31 |      0.0 |       0.00% |       0.0000
        2 |   6.71 |      0.0 |       0.00% |       0.0000
        3 |   7.12 |      0.0 |       0.00% |       0.0000
        4 |  14.35 |      0.0 |       0.00% |       0.0000
        5 |  21.96 |      0.0 |       0.00% |       0.0000
        6 |  25.11 |      0.0 |       0.00% |       0.0000
        7 |  31.28 |      0.0 |       0.00% |       0.0000
        8 |  29.48 |      0.0 |       0.00% |       0.0000
        9 |  35.33 |      0.0 |       0.00% |       0.0000
       10 |  35.86 |      0.0 |       0.00% |       0.0000
       11 |  36.89 |      0.0 |       0.00% |       0.0000
       12 |  30.01 |      0.0 |       0.00% |       0.0000
       13 |  34.91 |      0.0 |       0.00% |       0.0000
       14 |  33.40 |      0.0 |       0.00% |       0.0000
       15 |  37.57 |      0.0 |       0.00% |       0.0000
       16 |  37.28 |      0.0 |       0.00% |       0.0000
       17 |  39.33 |      0.0 |       0.00% |       0.0000
       18 |  39.55 |      0.0 |       0.00% |       0.0000
       19 |  38.23 |      0.0 |       0.00% |       0.0000
       20 |  35.13 |      0.0 |       0.00% |       0.0000
       21 |  38.00 |      0.0 |       0.00% |       0.0000
       22 |  45.05 |      0.0 |       0.00% |       0.0000
       23 |  38.37 |      0.0 |       0.00% |       0.0000
       24 |  36.73 |      0.0 |       0.00% |       0.0000
       25 |  38.55 |      0.0 |       0.00% |       0.0000
       26 |  42.39 |      0.0 |       0.00% |       0.0000
       27 |  38.20 |      0.0 |       0.00% |       0.0000
       28 |  40.42 |      0.0 |       0.00% |       0.0000
       29 |  36.24 |      0.0 |       0.00% |       0.0000
       30 |  39.21 |      0.0 |       0.00% |       0.0000
       31 |  39.90 |      0.0 |       0.00% |       0.0000
       32 |  37.24 |      0.0 |       0.00% |       0.0000
       33 |  36.61 |      0.0 |       0.00% |       0.0000
       34 |  39.08 |      0.0 |       0.00% |       0.0000
       35 |  36.60 |      0.0 |       0.00% |       0.0000
       36 |  34.48 |      0.0 |       0.00% |       0.0000
       37 |  38.68 |      0.0 |       0.00% |       0.0000
       38 |  37.25 |      0.0 |       0.00% |       0.0000
       39 |  36.25 |      0.0 |       0.00% |       0.0000
       40 |  38.01 |      0.0 |       0.00% |       0.0000
