Modified DAgger (KDE + Action Noise) Training Results
Expert Performance: Reward=35.95, Avg Falls=0.0
Training Time: 0:16:17.163023
Total Samples: 1962

Hyperparameters:
  Expert mixing prob (β): 0.1
  Action noise prob (α): 0.0
  Action noise std (σ): 0.1
  KDE threshold: 0.08
  KDE bandwidth: 0.4

Student Performance per Iteration:
Iteration | Reward | Avg Falls | Filter Ratio | Avg Density
----------|--------|----------|-------------|-------------
        1 |   7.59 |      0.0 |       0.00% |       0.0000
        2 |   7.19 |      0.0 |      69.00% |       0.2276
        3 |   6.81 |      0.0 |      76.00% |       0.2284
        4 |   6.17 |      0.0 |      73.00% |       0.1639
        5 |   8.24 |      0.0 |      83.00% |       0.1656
        6 |  15.09 |      0.0 |      72.00% |       0.1824
        7 |  18.43 |      0.0 |      72.00% |       0.1760
        8 |  24.86 |      0.0 |      70.00% |       0.1132
        9 |  28.39 |      0.0 |      51.00% |       0.0957
       10 |  31.48 |      0.0 |      55.00% |       0.0741
       11 |  31.55 |      0.0 |      69.00% |       0.0914
       12 |  35.48 |      0.0 |      51.00% |       0.0799
       13 |  29.71 |      0.0 |      45.00% |       0.0766
       14 |  30.96 |      0.0 |      64.00% |       0.0833
       15 |  32.78 |      0.0 |      55.00% |       0.0923
       16 |  31.54 |      0.0 |      47.00% |       0.0736
       17 |  34.47 |      0.0 |      54.00% |       0.0840
       18 |  36.32 |      0.0 |      21.00% |       0.0612
       19 |  31.65 |      0.0 |      56.00% |       0.0878
       20 |  33.69 |      0.0 |      25.00% |       0.0655
       21 |  33.89 |      0.0 |      51.00% |       0.0783
       22 |  34.70 |      0.0 |      63.00% |       0.0763
       23 |  36.45 |      0.0 |      41.00% |       0.0732
       24 |  33.74 |      0.0 |      65.00% |       0.0733
       25 |  31.53 |      0.0 |      44.00% |       0.0832
       26 |  36.11 |      0.0 |      68.00% |       0.0837
       27 |  36.96 |      0.0 |      68.00% |       0.0908
       28 |  34.28 |      0.0 |      53.00% |       0.0784
       29 |  33.71 |      0.0 |      53.00% |       0.0742
       30 |  34.87 |      0.0 |      49.00% |       0.0725
       31 |  35.87 |      0.0 |      54.00% |       0.0782
       32 |  35.86 |      0.0 |      46.00% |       0.0725
       33 |  31.04 |      0.0 |      18.00% |       0.0626
       34 |  33.40 |      0.0 |      36.00% |       0.0703
       35 |  36.22 |      0.0 |      33.00% |       0.0685
       36 |  38.08 |      0.0 |      47.00% |       0.0909
       37 |  37.14 |      0.0 |      32.00% |       0.0723
       38 |  32.62 |      0.0 |      13.00% |       0.0620
       39 |  35.64 |      0.0 |      43.00% |       0.0688
       40 |  32.50 |      0.0 |      53.00% |       0.0774
