Modified DAgger (KDE + Action Noise) Training Results
Expert Performance: Reward=36.68, Avg Falls=0.0
Training Time: 0:07:51.874247
Total Samples: 1180

Hyperparameters:
  Expert mixing prob (β): 0.1
  Action noise prob (α): 0.2
  Action noise std (σ): 0.1
  KDE threshold: 0.08
  KDE bandwidth: 0.4

Student Performance per Iteration:
Iteration | Reward | Avg Falls | Filter Ratio | Avg Density
----------|--------|----------|-------------|-------------
        1 |   7.49 |      0.0 |       0.00% |       0.0000
        2 |   6.96 |      0.0 |      64.00% |       0.1559
        3 |   7.31 |      0.0 |      66.00% |       0.1317
        4 |   7.05 |      0.0 |      52.00% |       0.0872
        5 |  10.41 |      0.0 |      62.00% |       0.0918
        6 |  17.51 |      0.0 |      67.00% |       0.0819
        7 |  24.85 |      0.0 |      55.00% |       0.0735
        8 |  26.94 |      0.0 |      53.00% |       0.0611
        9 |  26.85 |      0.0 |      33.00% |       0.0498
       10 |  30.90 |      0.0 |       0.00% |       0.0231
       11 |  32.21 |      0.0 |       9.00% |       0.0424
       12 |  32.46 |      0.0 |      41.00% |       0.0557
       13 |  35.10 |      0.0 |      41.00% |       0.0543
       14 |  34.34 |      0.0 |      37.00% |       0.0524
       15 |  36.39 |      0.0 |      42.00% |       0.0625
       16 |  35.28 |      0.0 |      35.00% |       0.0584
       17 |  33.84 |      0.0 |      60.00% |       0.0696
       18 |  33.09 |      0.0 |      33.00% |       0.0571
       19 |  35.25 |      0.0 |      33.00% |       0.0600
       20 |  34.71 |      0.0 |      37.00% |       0.0597
