#{"t_start": 1761079158.4538329, "env_id": "CarRacing-v3"}
r,l,t
25.827815,1000,67.590755
100.0,1000,127.647498
134.113712,1000,187.368221
401.577287,1000,247.69932
173.927393,1000,307.083781
484.313725,1000,368.263227
215.789474,1000,463.4813
165.372168,1000,524.186913
514.814815,1000,585.295394
27.388535,1000,645.919934
62.361624,1000,706.718556
221.969697,1000,765.85815
475.221239,1000,866.811008
432.467532,1000,928.103715
205.147059,1000,988.788758
483.02583,1000,1049.728864
659.856631,1000,1109.946144
380.392157,1000,1171.257405
555.172414,1000,1270.446628
639.726027,1000,1332.020269
456.363636,1000,1393.781189
627.598566,1000,1454.588691
553.465347,1000,1516.384398
690.849673,1000,1578.03531
629.166667,1000,1640.069897
865.517241,1000,1740.268056
229.268293,1000,1802.158087
852.191235,1000,1863.984526
731.125828,1000,1926.389056
697.427653,1000,1987.72976
643.150685,1000,2049.839346
882.578397,1000,2151.011218
472.307692,1000,2212.965963
843.060498,1000,2275.878157
454.455446,1000,2338.230151
764.111498,1000,2400.817502
409.259259,1000,2462.111541
671.428571,1000,2563.351194
395.016611,1000,2625.632901
569.934641,1000,2687.104101
663.754045,1000,2748.771398
295.104895,1000,2810.981148
865.909091,1000,2870.342459
867.97153,1000,2970.957818
852.02952,1000,3033.856925
776.28866,1000,3096.011633
870.80292,1000,3156.992075
808.127208,1000,3219.58249
888.929889,1000,3281.489592
855.223881,1000,3343.811024
846.808511,1000,3443.430486
861.267606,1000,3506.295674
331.734317,1000,3568.599349
856.228956,1000,3630.96427
892.592593,1000,3693.378182
910.0,900,3750.298455
901.2,988,3846.831352
683.216783,1000,3909.259523
848.805461,1000,3972.156762
903.9,961,4031.890908
850.980392,1000,4094.635744
655.775578,1000,4156.97721
493.272171,1000,4257.97605
853.846154,1000,4320.473498
808.088235,1000,4383.439927
755.172414,1000,4447.35163
591.756272,1000,4510.936801
433.14121,1000,4575.100683
903.5,965,4674.14612
676.271186,1000,4736.50176
