#{"t_start": 1761079158.4471915, "env_id": "CarRacing-v3"}
r,l,t
50.0,1000,67.491997
42.424242,1000,127.562643
30.434783,1000,187.281178
57.894737,1000,247.612378
197.101449,1000,306.995146
330.555556,1000,368.17958
37.208046,468,433.160322
236.879433,1000,493.429437
419.379845,1000,554.010776
224.232082,1000,615.138553
84.375,1000,675.802663
310.958904,1000,735.87893
270.0,1000,796.136569
331.818182,1000,896.85595
433.13253,1000,957.776998
428.428094,1000,1019.091152
51.724138,1000,1079.344054
204.794521,1000,1140.030728
625.423729,1000,1201.023244
361.309524,1000,1300.802936
127.891156,1000,1359.196106
376.190476,1000,1420.845578
724.561404,1000,1481.950947
533.333333,1000,1543.875303
683.018868,1000,1605.690777
760.294118,1000,1706.332358
429.780564,1000,1767.843174
858.015267,1000,1829.236751
435.714286,1000,1891.920324
863.235294,1000,1953.725837
846.969697,1000,2015.200329
690.0,1000,2116.350438
835.018051,1000,2178.604048
888.888889,1000,2240.676303
524.277457,1000,2303.79436
502.484472,1000,2366.03256
761.111111,1000,2428.345556
900.7,993,2489.38555
653.943218,1000,2590.932338
535.687732,1000,2652.642622
272.469636,1000,2713.966648
659.717314,1000,2776.361668
664.705882,1000,2838.220653
736.120401,1000,2900.250015
522.994652,1000,3001.448513
652.265861,1000,3064.197094
888.970588,1000,3125.427939
779.562044,1000,3187.343835
722.006472,1000,3249.390394
728.282828,1000,3311.299898
603.583062,1000,3411.129378
658.169935,1000,3473.679246
650.915751,1000,3536.497929
874.637681,1000,3598.490225
857.142857,1000,3661.217111
644.027304,1000,3723.930056
527.516779,1000,3821.39287
493.846154,1000,3883.669421
157.961783,1000,3946.492017
283.333333,1000,4008.964608
887.654321,1000,4071.488832
766.666667,1000,4133.779295
893.197279,1000,4193.696665
873.684211,1000,4294.457038
900.1,999,4356.916278
875.352113,1000,4420.937413
622.741433,1000,4484.636194
800.662252,1000,4548.436254
789.679715,1000,4611.291827
790.459364,1000,4712.830095
