#{"t_start": 1761079158.4515958, "env_id": "CarRacing-v3"}
r,l,t
74.242424,1000,67.556427
14.186851,1000,127.617968
47.058824,1000,187.338609
93.103448,1000,247.668135
40.127389,1000,307.054706
290.0,1000,368.236142
519.607843,1000,463.451776
503.571429,1000,524.15478
287.755102,1000,585.266273
43.79085,1000,645.889699
226.732673,1000,706.689924
190.780142,1000,765.82848
440.372671,1000,866.780544
544.366197,1000,928.074195
634.767025,1000,988.759043
595.652174,1000,1049.700019
374.522293,1000,1109.916015
352.76873,1000,1171.226559
50.159744,1000,1270.416174
424.916944,1000,1331.991775
825.311203,1000,1393.754048
673.809524,1000,1454.557702
396.527778,1000,1516.352901
293.491124,1000,1578.004519
53.707692,987,1639.257153
669.230769,1000,1739.461848
678.501629,1000,1801.346925
223.61516,1000,1863.162744
579.365079,1000,1925.588504
711.3879,1000,1986.930061
619.858156,1000,2049.029561
830.795848,1000,2150.228513
485.454545,1000,2212.175102
868.965517,1000,2275.079008
831.034483,1000,2337.438579
744.884488,1000,2400.025375
506.060606,1000,2461.334691
691.245791,1000,2562.565973
862.546816,1000,2624.871753
732.214765,1000,2686.354186
406.493506,1000,2747.983724
642.574257,1000,2810.220723
813.978495,1000,2869.574674
409.803922,1000,2970.172393
743.636364,1000,3033.073635
55.03876,1000,3095.234856
681.456954,1000,3156.21397
775.912409,1000,3218.805105
642.160279,1000,3280.720217
540.410959,1000,3343.038778
718.181818,1000,3442.662801
797.689769,1000,3505.514127
518.343195,1000,3567.835121
864.74359,1000,3630.189291
821.146953,1000,3692.593054
646.987952,1000,3755.60684
283.802817,1000,3852.799681
875.177305,1000,3915.224445
655.62701,1000,3978.083617
914.9,851,4031.268615
543.475912,975,4092.598342
901.2,988,4154.192481
685.478548,1000,4255.218779
655.485893,1000,4317.708081
908.8,912,4375.175205
696.923077,1000,4439.177627
796.32107,1000,4502.782933
557.738095,1000,4566.930562
877.941176,1000,4629.237074
281.270903,1000,4730.499324
