#{"t_start": 1761079158.440626, "env_id": "CarRacing-v3"}
r,l,t
-27.203065,1000,67.394486
49.253731,1000,127.474534
123.826715,1000,187.191374
48.93617,1000,247.520936
96.013289,1000,306.904377
374.226804,1000,368.09339
472.916667,1000,463.32407
464.356436,1000,524.026225
263.924051,1000,585.134684
22.006226,493,616.62474
215.942029,1000,677.314233
240.501792,1000,737.340437
388.599349,1000,797.645575
248.993289,1000,898.383038
55.555556,1000,959.27416
483.061889,1000,1020.596835
201.818182,1000,1080.868839
300.749064,1000,1141.593479
704.347826,1000,1202.494729
490.062112,1000,1302.362839
370.0,1000,1363.576297
221.428571,1000,1422.373067
300.793651,1000,1483.488248
737.45583,1000,1545.403103
449.079755,1000,1607.198135
462.691131,1000,1707.882129
867.391304,1000,1769.354657
664.478764,1000,1830.897874
619.033233,1000,1893.484363
844.444444,1000,1955.250548
582.847896,1000,2016.748765
574.121406,1000,2117.888816
351.104101,1000,2180.154417
910.5,895,2235.933915
366.898955,1000,2299.050833
888.142292,1000,2361.263591
729.721362,1000,2423.665766
727.242525,1000,2485.053091
664.900662,1000,2586.535239
788.0,1000,2648.344577
44.486692,1000,2709.638966
577.316294,1000,2771.993595
684.313725,1000,2833.868525
678.52349,1000,2895.865844
641.741742,1000,2997.130233
695.918367,1000,3059.847762
867.391304,1000,3121.194167
835.849057,1000,3182.934207
778.378378,1000,3245.042796
635.59322,1000,3306.967222
249.693252,1000,3406.816021
883.263598,1000,3469.319676
690.273556,1000,3532.162018
870.909091,1000,3594.090253
525.766871,1000,3656.866041
698.701299,1000,3719.535502
740.677966,1000,3817.060031
527.062706,1000,3879.216378
858.62069,1000,3942.040223
850.49505,1000,4001.65616
757.594937,1000,4064.21647
862.457338,1000,4126.565631
875.352113,1000,4189.305344
905.7,943,4286.719817
855.223881,1000,4349.183815
820.265781,1000,4412.991609
642.765273,1000,4476.866358
520.253165,1000,4540.438237
700.0,1000,4603.623925
811.971831,1000,4705.254279
