#{"t_start": 1761079158.4494593, "env_id": "CarRacing-v3"}
r,l,t
140.418118,1000,67.525511
25.0,1000,127.590094
81.818182,1000,187.310552
12.627986,1000,247.639718
167.399267,1000,307.023463
166.233766,1000,368.207712
97.628458,1000,463.421998
138.754325,1000,524.126071
370.989761,1000,585.234517
290.322581,1000,645.857855
538.225256,1000,706.659796
54.574132,1000,765.799021
322.360248,1000,866.750136
249.152542,1000,928.04698
715.09434,1000,988.72926
320.875421,1000,1049.671049
413.888889,1000,1109.884626
566.666667,1000,1171.195778
588.135593,1000,1270.386681
629.452055,1000,1331.961344
646.621622,1000,1393.725014
741.549296,1000,1454.52683
455.555556,1000,1516.323414
792.473118,1000,1577.975492
137.226277,1000,1640.027785
474.545455,1000,1740.224385
556.25,1000,1802.114141
485.858586,1000,1863.939815
501.328904,1000,1926.346105
737.45583,1000,1987.685169
839.501779,1000,2049.796995
909.0,910,2145.52034
614.765101,1000,2207.516692
673.770492,1000,2270.370073
694.871795,1000,2332.718911
870.099668,1000,2395.333063
52.0,1000,2456.639563
652.351097,1000,2557.740328
626.688103,1000,2617.43191
883.471074,1000,2678.992422
828.301887,1000,2740.639607
327.244582,1000,2802.897224
785.017422,1000,2864.910418
712.080537,1000,2965.348791
800.0,1000,3028.277407
285.714286,1000,3090.542022
907.0,930,3147.36956
743.450479,1000,3209.963189
660.147601,1000,3271.839503
905.7,943,3330.636456
832.862191,1000,3430.392701
653.04878,1000,3493.160615
828.327645,1000,3555.552932
635.395189,1000,3617.871317
671.626298,1000,3680.296058
656.944444,1000,3743.301075
875.352113,1000,3840.580345
651.612903,1000,3903.091966
885.185185,1000,3965.863096
857.03125,1000,4027.946245
639.130435,1000,4090.71892
889.547038,1000,4152.977321
810.0,1000,4253.976854
852.0,1000,4316.45299
693.333333,1000,4379.346987
651.677852,1000,4443.25388
594.533762,1000,4506.906954
791.089109,1000,4571.094456
782.129278,1000,4672.188954
902.4,976,4733.114296
