#{"t_start": 1761079158.4384263, "env_id": "CarRacing-v3"}
r,l,t
37.546468,1000,67.362859
-31.506849,1000,127.444832
17.647059,1000,187.161483
22.377622,1000,247.493776
92.622951,1000,306.875329
537.254902,1000,368.063779
216.151203,1000,463.291513
214.121037,1000,523.994249
136.686391,1000,585.10447
545.985401,1000,645.746255
341.860465,1000,706.546194
320.105634,976,764.286579
282.142857,1000,865.179803
391.694352,1000,926.522501
457.491289,1000,987.163564
219.20904,1000,1047.917645
380.968858,1000,1108.42622
669.516729,1000,1169.660332
87.05036,1000,1268.849777
770.722433,1000,1330.439991
359.940653,1000,1392.189546
667.790262,1000,1453.027544
611.038961,1000,1514.779977
766.666667,1000,1576.443526
428.052805,1000,1638.463702
404.918033,1000,1738.65416
540.0,1000,1800.534825
696.610169,1000,1862.333464
691.09589,1000,1924.786648
841.979522,1000,1986.127429
824.836601,1000,2048.210251
575.925926,1000,2149.413998
863.210702,1000,2211.371839
693.103448,1000,2274.262199
565.517241,1000,2336.622617
727.838828,1000,2399.208358
810.11236,1000,2460.507903
778.787879,1000,2561.732539
761.016949,1000,2624.073838
665.432099,1000,2685.557806
843.661972,1000,2747.15743
670.072993,1000,2806.718137
629.72973,1000,2868.766866
858.955224,1000,2969.347747
767.383513,1000,3032.251177
666.798419,1000,3094.412339
150.0,1000,3155.40466
902.9,971,3216.292189
795.131086,1000,3278.214725
801.459854,1000,3340.486901
753.571429,1000,3440.15237
865.116279,1000,3502.96251
915.4,846,3556.106688
790.784983,1000,3618.439317
882.394366,1000,3680.869887
893.197279,1000,3743.861646
587.5,1000,3841.140666
905.7,943,3900.260228
878.494624,1000,3963.068642
445.150502,1000,4025.142357
762.068966,1000,4087.954914
801.315789,1000,4150.188829
907.3,927,4246.850555
798.026316,1000,4309.285139
570.03367,1000,4372.049308
572.354949,1000,4436.049053
256.944444,876,4489.392402
856.989247,1000,4553.350731
875.0,1000,4616.010155
443.918919,1000,4717.532375
