#{"t_start": 1761079158.4450514, "env_id": "CarRacing-v3"}
r,l,t
128.668942,1000,67.457882
74.193548,1000,127.532869
277.697842,1000,187.252544
109.302326,1000,247.58106
142.320819,1000,306.964646
12.804878,1000,368.15126
353.900709,1000,463.381492
194.701987,1000,524.085026
70.568562,1000,585.193671
364.285714,1000,645.817562
393.288591,1000,706.615063
503.571429,1000,765.756087
222.18845,1000,866.706863
892.647059,1000,928.002511
522.149837,1000,988.688096
310.909091,1000,1049.632864
432.319392,1000,1109.844504
586.006826,1000,1171.152845
242.756184,1000,1270.343146
705.642633,1000,1331.920555
620.496894,1000,1393.6816
521.451104,1000,1454.486298
64.948454,1000,1516.281411
239.285714,1000,1577.933425
701.393728,1000,1639.9851
374.074074,1000,1740.182721
811.877395,1000,1802.07389
88.284519,1000,1863.897003
371.631206,1000,1926.307267
222.033898,1000,1987.643669
750.0,1000,2049.754039
810.958904,1000,2150.946712
884.555985,1000,2212.897702
737.748344,1000,2275.80991
725.783972,1000,2338.158041
450.769231,1000,2400.750521
383.443709,1000,2462.042896
771.710526,1000,2563.282236
729.181495,1000,2625.565568
820.863309,1000,2687.039592
767.383513,1000,2748.701809
748.993289,1000,2810.916026
830.327869,1000,2870.275789
875.609756,1000,2970.888746
888.721805,1000,3033.785758
618.654434,1000,3095.94448
648.148148,1000,3156.923904
727.81457,1000,3219.514938
689.297659,1000,3281.421912
569.966997,1000,3343.739593
372.049689,1000,3443.359662
548.902821,1000,3506.226434
709.364548,1000,3568.533276
888.549618,1000,3630.894714
278.181818,1000,3693.310557
892.125984,1000,3756.311747
892.063492,1000,3853.513343
877.695167,1000,3915.927272
498.101266,1000,3978.779394
665.886288,1000,4040.84367
405.300353,1000,4103.45006
812.587413,1000,4165.928502
622.891566,1000,4266.900833
526.582278,1000,4329.422269
876.653696,1000,4392.52001
395.081967,1000,4456.628011
700.643087,1000,4520.101427
838.628159,1000,4583.912409
863.45515,1000,4685.184138
