Modified DAgger Training Results
Expert Performance: Reward=750.09, Avg Falls=0.0
Training Time: 1:34:54.564229
Total Samples: 853
Trajectory Acceptance Rate: 5.0%

Student Performance per Iteration:
Iteration | Reward | Avg Falls
----------|--------|----------
        1 | -28.83 |      0.0
        2 | 219.61 |      0.0
        3 | 171.63 |      0.0
        4 | 120.90 |      0.0
        5 | 187.23 |      0.0
        6 | 250.73 |      0.0
        7 | 490.06 |      0.0
        8 | 221.24 |      0.0
        9 | 338.64 |      0.0
       10 | 164.52 |      0.0
       11 | 288.34 |      0.0
       12 | 318.47 |      0.0
       13 | 321.72 |      0.0
       14 | 447.67 |      0.0
       15 | 243.75 |      0.0
       16 | 254.25 |      0.0
       17 | 445.10 |      0.0
       18 | 382.25 |      0.0
       19 | 209.36 |      0.0
       20 | 331.25 |      0.0
