#{"t_start": 1764442130.8849878, "env_id": "CarRacing-v3"}
r,l,t
14.09396,1000,37.813217
37.583893,1000,74.333999
-9.395973,1000,110.800291
72.833333,981,147.229299
66.666667,1000,184.323413
135.849057,1000,221.805445
338.311688,1000,282.638676
55.76324,1000,320.722835
393.377483,1000,358.763378
621.115538,1000,396.725165
146.376812,1000,435.236718
303.389831,1000,473.530447
232.335329,1000,535.038214
600.325733,1000,573.045185
885.815603,1000,611.357621
516.161616,1000,649.616199
248.837209,1000,687.367565
825.081433,1000,725.581986
84.863636,916,782.553099
210.371096,884,816.566365
217.725753,1000,854.704323
659.74026,1000,893.122382
705.921053,1000,931.70568
645.980707,1000,970.50404
913.4,866,1003.678437
490.47619,1000,1066.413958
871.326165,1000,1104.826325
912.7,873,1137.467379
312.650602,1000,1176.247859
752.842809,1000,1214.87066
685.478548,1000,1253.57874
667.918089,1000,1316.403843
540.0,1000,1354.694361
593.498452,1000,1393.31364
766.043614,1000,1432.159799
810.828025,1000,1470.843194
818.287938,1000,1509.333953
458.219178,1000,1571.75975
684.860558,1000,1610.285964
698.534799,1000,1648.46432
886.440678,1000,1686.730133
319.452888,1000,1725.422496
917.4,826,1757.475743
725.657895,1000,1796.567455
752.842809,1000,1859.930218
730.246914,1000,1899.097919
648.062016,1000,1937.839492
838.697318,1000,1976.446357
875.945017,1000,2015.218187
805.405405,1000,2054.070855
855.782313,1000,2117.06834
886.440678,1000,2155.755881
921.7,783,2185.118692
798.026316,1000,2224.207644
875.694444,1000,2262.537457
548.648649,1000,2301.099559
882.394366,1000,2339.59633
866.666667,1000,2401.847603
840.298507,1000,2440.994863
162.491437,740,2470.045119
864.630225,1000,2508.530729
840.0,1000,2547.383787
499.415205,1000,2586.761671
807.534247,1000,2648.596744
877.198697,1000,2687.357729
841.605839,1000,2726.014471
731.081081,1000,2764.715965
878.571429,1000,2803.839477
764.40678,1000,2842.957542
840.140845,1000,2906.368473
648.251748,1000,2945.432927
879.79798,1000,2984.025637
737.662338,1000,3023.255844
882.269504,1000,3062.089761
438.906977,891,3096.960379
826.910299,1000,3136.629903
907.5,925,3197.707655
842.446043,1000,3236.666565
878.417266,1000,3278.182028
856.810631,1000,3317.915882
860.0,1000,3359.042137
719.354839,1000,3402.851436
861.672474,1000,3468.69915
872.696246,1000,3507.288439
907.2,928,3543.677138
860.288809,1000,3582.628553
839.597315,1000,3621.700522
878.181818,1000,3660.785671
847.194719,1000,3720.717537
810.714286,1000,3759.760471
907.7,923,3795.753449
739.160839,1000,3834.840979
828.802589,1000,3873.907478
871.88755,1000,3913.02731
881.481481,1000,3952.07535
734.437086,1000,4015.511559
868.12749,1000,4054.693529
880.46875,1000,4093.900385
903.2,968,4131.874491
881.308411,1000,4171.585062
852.702703,1000,4210.76489
