#{"t_start": 1764442130.8828273, "env_id": "CarRacing-v3"}
r,l,t
163.345196,1000,37.760116
-41.524138,899,70.771224
39.158576,1000,107.175968
124.7557,1000,144.268895
76.678445,1000,181.377904
234.47099,1000,218.809321
441.818182,1000,279.660009
96.875,1000,317.716922
331.309904,1000,355.702374
505.504587,1000,393.701588
298.058252,1000,432.203958
66.666667,1000,470.467927
526.229508,1000,532.005308
262.549801,1000,569.992074
754.72973,1000,608.309165
703.030303,1000,646.464684
275.478927,1000,684.341382
496.837945,1000,722.523486
347.447447,1000,782.614887
391.694352,1000,820.929743
868.309859,1000,859.136508
600.361011,1000,897.536516
871.223022,1000,936.108158
559.016393,1000,974.797154
143.605263,986,1012.608221
687.301587,1000,1075.230883
878.26087,1000,1113.682516
888.549618,1000,1152.200269
861.538462,1000,1191.017712
559.016393,1000,1229.603133
568.789809,1000,1268.328035
870.491803,1000,1330.969583
680.405405,1000,1369.375662
882.078853,1000,1408.206516
885.185185,1000,1446.820588
876.588629,1000,1485.447533
791.791045,1000,1524.105196
657.475083,1000,1585.486691
571.698113,1000,1623.752532
705.555556,1000,1661.949158
889.547038,1000,1700.337322
467.656766,1000,1739.0255
808.474576,1000,1777.825987
622.929936,1000,1840.98349
760.215054,1000,1880.467634
771.621622,1000,1919.301458
639.93808,1000,1957.995138
889.583333,1000,1996.742558
610.191083,1000,2035.548783
874.910394,1000,2074.263108
856.834532,1000,2137.252304
827.797834,1000,2175.753421
608.993728,925,2212.129748
570.731707,1000,2250.586015
861.702128,1000,2289.033203
585.121107,1000,2327.6701
907.4,926,2386.731815
657.763975,1000,2426.064738
872.027972,1000,2465.006791
571.698113,1000,2503.460008
892.982456,1000,2542.231797
808.196721,1000,2581.630246
552.777778,1000,2643.641926
892.277992,1000,2682.250278
875.945017,1000,2721.037869
828.327645,1000,2759.648966
876.190476,1000,2798.755457
723.717949,1000,2837.803514
426.233333,872,2871.995992
744.660194,1000,2934.383227
835.897436,1000,2972.985817
666.561514,1000,3012.145048
882.993197,1000,3051.004348
912.6,874,3085.122835
660.252366,1000,3124.505789
896.124031,1000,3189.793609
642.038217,1000,3228.868404
910.3,897,3266.091888
728.85906,1000,3305.812836
683.783784,1000,3346.510366
859.59596,1000,3389.624169
889.090909,1000,3456.99087
779.432624,1000,3495.636909
915.1,849,3528.932108
864.980545,1000,3567.883504
691.798107,1000,3607.036868
790.510949,1000,3646.197188
839.501779,1000,3684.953717
428.700906,1000,3745.148665
896.240602,1000,3783.944029
914.8,852,3816.223993
758.974359,1000,3855.343964
477.557756,1000,3894.483137
628.971963,1000,3933.453085
673.648649,1000,3996.426466
892.857143,1000,4035.881744
410.344828,1000,4075.266609
847.194719,1000,4114.598318
817.525773,1000,4153.924205
886.062718,1000,4193.284079
843.75,1000,4256.678027
