#{"t_start": 1764442130.880748, "env_id": "CarRacing-v3"}
r,l,t
68.350168,1000,37.707537
131.543624,1000,74.236507
47.859922,1000,110.699542
104.620462,1000,147.85762
223.529412,1000,184.952678
216.498316,1000,222.442469
143.333333,1000,283.269629
129.323308,1000,321.378205
221.299639,1000,359.39889
274.100719,1000,397.364545
345.859873,1000,435.887735
437.931034,1000,474.179825
536.363636,1000,535.672808
72.535211,1000,573.690795
554.275093,1000,612.006427
344.099379,1000,650.278219
271.134021,1000,688.009733
234.482759,1000,726.223093
304.682274,1000,786.37725
360.076046,1000,824.619613
526.198083,1000,862.915711
697.153025,1000,901.299995
884.063745,1000,940.006208
568.965517,1000,978.482937
834.306569,1000,1016.931554
859.839357,1000,1079.487659
871.326165,1000,1117.943886
349.511401,1000,1156.507006
672.435897,1000,1195.310431
629.927007,1000,1233.869015
618.120805,1000,1272.668281
875.862069,1000,1335.212123
843.262411,1000,1373.680312
412.658228,1000,1412.483467
885.559567,1000,1451.121594
809.385113,1000,1489.69931
882.394366,1000,1528.318236
901.9,981,1590.180825
892.857143,1000,1628.35939
647.474747,1000,1666.593973
20.050847,631,1690.0949
751.06383,1000,1728.822126
829.71246,1000,1767.537975
621.611722,1000,1806.628228
634.693878,1000,1870.086214
666.025641,1000,1909.075584
156.227758,1000,1947.732457
606.766917,1000,1986.439985
628.222997,1000,2025.247259
439.184953,1000,2063.94873
720.895522,1000,2127.054892
813.669065,1000,2165.618607
686.324786,1000,2204.714361
881.203008,1000,2243.265846
884.962406,1000,2281.562804
425.679758,1000,2320.311387
609.897611,1000,2382.070956
551.877133,1000,2421.363184
852.542373,1000,2460.326937
664.285714,1000,2498.868771
892.673993,1000,2537.503805
869.811321,1000,2576.882839
829.936306,1000,2638.972212
859.558824,1000,2677.544152
675.075988,1000,2716.398394
838.566553,1000,2754.892944
510.119048,1000,2793.990799
294.039735,1000,2832.994949
912.7,873,2866.18685
821.501706,1000,2929.851572
842.238267,1000,2968.364602
813.793103,1000,3007.439616
851.612903,1000,3046.337076
242.704651,760,3076.199793
476.576577,1000,3115.477535
701.886792,1000,3180.571996
835.483871,1000,3219.938424
379.768786,1000,3260.828944
788.513514,1000,3300.708273
860.629921,1000,3341.059348
880.0,1000,3383.842717
811.184211,1000,3426.399074
236.734694,1000,3490.513913
886.79868,1000,3529.52428
816.981132,1000,3568.485005
889.399293,1000,3607.635652
576.666667,1000,3646.80884
903.3,967,3684.314213
871.326165,1000,3744.491615
847.735192,1000,3783.295595
641.721854,1000,3822.387511
822.48062,1000,3861.499515
877.695167,1000,3900.58094
881.949458,1000,3939.475902
738.095238,1000,4002.704444
815.194346,1000,4040.853647
903.4,966,4078.993713
904.7,953,4116.537756
820.454545,1000,4155.930814
875.778547,1000,4195.287899
244.512195,1000,4258.626397
