#{"t_start": 1764442130.8843021, "env_id": "CarRacing-v3"}
r,l,t
87.692308,1000,37.795727
41.342756,1000,74.315351
58.62069,1000,110.783055
177.372263,1000,147.929422
56.794425,1000,185.022852
308.450704,1000,222.51328
341.176471,1000,283.475113
251.612903,1000,321.448764
408.038585,1000,359.47136
118.954248,1000,397.437743
400.0,1000,435.962345
462.691131,1000,474.252463
522.302158,1000,535.744881
519.808307,1000,573.755048
369.84127,1000,612.070581
535.014837,1000,650.341278
293.103448,1000,688.070997
479.470199,1000,726.287146
603.470032,1000,786.440079
595.50173,1000,824.681422
519.672131,1000,862.979193
134.233333,992,901.013133
608.978328,1000,939.72253
172.425249,1000,978.201113
857.654723,1000,1016.650365
573.716012,1000,1079.207516
756.20915,1000,1117.665855
867.153285,1000,1156.218071
345.103858,1000,1195.025382
532.302405,1000,1233.585551
436.082474,1000,1272.378798
263.970588,1000,1334.929252
855.932203,1000,1373.39718
922.9,771,1402.533551
67.935484,741,1431.529283
889.583333,1000,1470.221776
873.154362,1000,1508.698425
193.918919,1000,1571.132362
822.829582,1000,1609.662705
344.827586,1000,1647.839493
844.852941,1000,1686.109589
94.029851,1000,1724.780673
868.19788,1000,1763.4643
401.639344,1000,1802.566016
584.713376,1000,1866.018604
878.947368,1000,1905.031119
731.288344,1000,1943.713056
841.935484,1000,1982.411087
436.912752,1000,2021.183516
873.782772,1000,2059.953304
870.588235,1000,2123.019517
843.060498,1000,2161.63
856.834532,1000,2200.508913
847.852761,1000,2239.28066
855.390335,1000,2277.587148
552.996845,1000,2316.285916
628.571429,1000,2378.071096
886.842105,1000,2417.325243
646.130031,1000,2456.272932
877.777778,1000,2494.853914
824.528302,1000,2533.482045
873.244147,1000,2572.838487
679.026217,1000,2634.920897
857.236842,1000,2673.533783
515.916955,1000,2711.321231
880.314961,1000,2749.717298
848.275862,1000,2788.829242
866.542751,1000,2827.826065
396.969697,1000,2866.943295
649.216301,1000,2930.591825
816.955017,1000,2969.110823
862.025316,1000,3008.205723
845.736434,1000,3047.09444
667.676768,1000,3086.005028
863.898917,1000,3125.38675
475.0,1000,3190.692905
600.718919,933,3227.22185
875.694444,1000,3268.399412
892.481203,1000,3308.113012
625.0,1000,3348.866783
832.539683,1000,3392.107638
844.078947,1000,3459.26215
853.947368,1000,3497.857563
875.265018,1000,3536.825823
853.571429,1000,3575.822538
874.264706,1000,3614.947006
770.967742,1000,3654.063798
63.522013,1000,3692.748691
866.542751,1000,3753.033999
884.848485,1000,3791.837646
876.027397,1000,3830.979416
864.143426,1000,3870.014761
804.918033,1000,3909.153448
769.257951,1000,3948.052402
853.405018,1000,4011.541462
660.56338,1000,4050.651219
882.817869,1000,4089.996835
647.603834,1000,4129.180228
855.479452,1000,4168.832986
804.477612,1000,4208.057501
