#{"t_start": 1764442130.8821678, "env_id": "CarRacing-v3"}
r,l,t
23.745819,1000,37.741782
-12.891986,1000,74.271349
168.48249,1000,110.73812
-5.527481,812,141.080796
151.968504,1000,178.165056
171.386431,1000,215.664859
339.862543,1000,276.483521
256.466877,1000,314.531455
605.426357,1000,352.43137
650.0,1000,390.462088
674.43609,1000,428.93941
352.554745,1000,467.149386
670.76412,1000,528.750539
357.044674,1000,566.789145
601.257862,1000,605.061209
864.143426,1000,643.159829
102.775269,984,680.605615
835.606061,1000,718.72621
177.372263,1000,778.671937
377.66323,1000,817.066472
885.454545,1000,855.20911
282.352941,1000,893.62818
875.862069,1000,932.209837
683.536585,1000,970.999887
123.443223,1000,1009.200409
880.392157,1000,1071.882584
870.260223,1000,1110.309252
124.358974,1000,1148.834911
866.41791,1000,1187.646942
455.555556,1000,1226.212616
678.571429,1000,1264.961264
892.779783,1000,1327.637753
880.314961,1000,1365.941187
854.983923,1000,1404.835291
635.191638,1000,1442.319928
839.849624,1000,1480.931698
858.762887,1000,1519.601998
811.660777,1000,1581.985603
522.516556,1000,1620.41337
874.820144,1000,1658.567232
855.479452,1000,1696.9792
469.811321,1000,1735.633724
669.230769,1000,1774.399182
558.064516,1000,1837.531296
837.086093,1000,1877.04738
875.177305,1000,1915.92468
855.932203,1000,1954.608946
810.543131,1000,1993.310825
848.170732,1000,2032.155776
831.271478,1000,2070.859087
864.85623,1000,2133.852104
885.40146,1000,2172.40803
752.409639,1000,2211.5248
885.347985,1000,2249.971596
396.478873,1000,2288.389947
675.974026,1000,2327.05053
658.730159,1000,2388.899086
519.672131,1000,2428.239958
847.761194,1000,2467.159977
868.75,1000,2505.627397
768.965517,1000,2544.453393
385.888026,935,2581.384272
889.010989,1000,2643.397644
859.409594,1000,2682.001427
454.421769,1000,2720.793353
713.186813,1000,2759.399659
790.322581,1000,2798.506118
884.67433,1000,2837.550977
885.454545,1000,2876.642729
856.20438,1000,2940.132837
891.701245,1000,2978.705428
882.758621,1000,3017.92893
767.79661,1000,3056.769598
453.903346,1000,3095.718122
842.567568,1000,3134.238476
893.079585,1000,3199.279629
673.972603,1000,3238.255576
865.732087,1000,3279.777679
618.654434,1000,3319.52344
796.024465,1000,3360.805853
737.837838,1000,3404.493771
874.074074,1000,3470.241238
914.7,853,3503.323448
871.929825,1000,3542.410212
871.119134,1000,3581.368146
593.333333,1000,3620.426326
320.19544,1000,3659.530418
809.090909,1000,3719.43971
843.217666,1000,3758.511865
631.707317,1000,3797.378273
828.327645,1000,3836.495023
688.961039,1000,3875.5808
692.387543,1000,3914.656303
745.117845,1000,3953.876821
818.75,1000,4017.151979
682.918149,1000,4056.366386
886.15917,1000,4095.567984
876.666667,1000,4134.741423
606.043956,1000,4174.462779
860.144928,1000,4213.635698
