#{"t_start": 1764442130.8814147, "env_id": "CarRacing-v3"}
r,l,t
45.59387,1000,37.724719
32.075472,1000,74.25334
37.123746,1000,110.719339
160.586319,1000,147.876343
194.314381,1000,184.971405
116.56051,1000,222.461577
379.865772,1000,283.287809
473.883162,1000,321.396354
631.448763,1000,359.417688
683.687943,1000,397.383222
237.386018,1000,435.907117
510.759494,1000,474.19885
245.070423,1000,535.690541
295.189003,1000,573.709229
518.729097,1000,612.026074
273.287671,1000,650.296867
400.0,1000,688.028112
462.937063,1000,726.242563
629.09699,1000,786.395313
852.02952,1000,824.638992
499.29078,1000,862.93422
840.983607,1000,901.318668
670.491803,1000,940.025565
865.986395,1000,978.501636
633.788396,1000,1016.949433
636.842105,1000,1079.506504
633.108108,1000,1117.964006
785.416667,1000,1156.526129
626.11465,1000,1195.329153
684.810127,1000,1233.888081
483.0721,1000,1272.687919
351.724138,1000,1335.230894
913.6,864,1368.510092
267.549669,1000,1407.346102
460.344828,1000,1445.961343
797.810219,1000,1484.583425
607.070707,1000,1522.126292
860.784314,1000,1584.499025
873.180077,1000,1622.91768
885.074627,1000,1661.098722
914.7,853,1694.013596
859.409594,1000,1732.699925
556.765677,1000,1771.458292
513.707165,1000,1810.630917
620.364742,1000,1874.049042
674.919614,1000,1912.996412
807.258065,1000,1951.660003
884.732824,1000,1990.357705
917.7,823,2022.51665
875.088968,1000,2061.270728
810.891089,1000,2124.363527
857.09571,1000,2162.948221
842.675159,1000,2201.995706
854.887218,1000,2240.596392
710.840268,953,2277.16646
843.060498,1000,2315.86073
878.417266,1000,2377.642476
700.0,1000,2416.894739
874.358974,1000,2455.842929
877.272727,1000,2494.432501
826.056338,1000,2533.053885
811.262799,1000,2572.39617
874.358974,1000,2611.428608
879.83871,1000,2673.103529
850.35461,1000,2710.897232
865.986395,1000,2749.294563
860.854093,1000,2788.395924
887.012987,1000,2827.395639
272.611465,1000,2866.51087
838.271605,1000,2930.17141
497.269625,1000,2968.684469
840.350877,1000,3007.771679
878.494624,1000,3046.661653
896.503497,1000,3085.57193
883.974359,1000,3124.957589
874.637681,1000,3190.258477
888.461538,1000,3229.31214
882.394366,1000,3270.584778
196.969697,1000,3310.268908
484.795322,1000,3351.07233
904.8,952,3392.421611
703.125,1000,3459.552886
758.131488,1000,3498.136258
516.385714,980,3536.31473
771.473354,1000,3575.313622
805.723906,1000,3614.444917
695.986622,1000,3653.566979
867.509025,1000,3692.245004
846.996466,1000,3752.536261
867.391304,1000,3791.330317
907.4,926,3827.663217
882.698962,1000,3866.703162
777.300613,1000,3905.887277
457.823129,1000,3944.739172
896.254682,1000,4008.054867
865.648855,1000,4047.425558
859.70696,1000,4086.691228
838.405797,1000,4125.877095
844.444444,1000,4165.445156
862.328767,1000,4204.736262
