#{"t_start": 1764442130.8836591, "env_id": "CarRacing-v3"}
r,l,t
112.927757,1000,37.778206
157.95053,1000,74.297033
34.948097,1000,110.763461
62.241888,1000,147.911685
188.389513,1000,185.005926
93.277311,1000,222.495218
117.391304,1000,283.456685
601.492537,1000,321.431243
517.424242,1000,359.452302
175.080906,1000,397.419342
433.546326,1000,435.943905
143.986254,1000,474.233367
837.269373,1000,535.725559
908.6,914,570.525311
138.095238,1000,608.853227
707.272727,1000,647.017408
379.099678,1000,684.870376
602.970297,1000,723.064075
506.164384,1000,783.182057
500.0,1000,821.466252
583.38558,1000,859.682713
654.152824,1000,898.085991
636.486486,1000,936.807184
700.0,1000,975.336884
815.492958,1000,1013.698581
842.965779,1000,1076.287924
481.120944,1000,1114.753067
397.076023,1000,1153.268911
848.905109,1000,1192.084113
836.241611,1000,1230.666013
892.857143,1000,1269.417756
892.366412,1000,1332.027576
850.570342,1000,1370.456566
842.372881,1000,1409.280488
672.200772,1000,1447.893383
411.627907,1000,1486.522096
647.440273,1000,1525.168067
517.46988,1000,1587.68398
793.548387,1000,1625.884326
822.297297,1000,1663.018263
821.232877,1000,1701.39953
701.242236,1000,1740.103295
626.962457,1000,1778.900048
653.424658,1000,1842.08242
406.097561,1000,1881.559854
831.506849,1000,1920.373612
691.970803,1000,1959.080465
889.051095,1000,1997.837288
874.545455,1000,2036.614658
800.343643,1000,2075.356391
896.453901,1000,2138.324001
661.19403,1000,2176.833985
229.479769,1000,2215.977726
896.350365,1000,2254.387602
837.931034,1000,2292.881912
643.661972,1000,2331.509843
822.178988,1000,2393.415913
780.2589,1000,2432.746426
889.473684,1000,2471.609752
482.191781,1000,2510.079147
825.925926,1000,2548.984467
849.640288,1000,2588.343851
521.118012,1000,2650.137409
810.034602,1000,2688.940591
247.003155,1000,2727.568809
875.438596,1000,2766.29354
689.13738,1000,2805.452861
514.285714,1000,2844.556066
848.051948,1000,2907.987184
859.866221,1000,2947.00635
848.339483,1000,2985.641703
847.712418,1000,3024.852131
922.2,778,3054.104778
764.516129,1000,3093.054754
896.742671,1000,3132.674377
866.555184,1000,3197.777763
813.49481,1000,3236.735906
824.590164,1000,3278.260026
866.329966,1000,3317.988791
888.142292,1000,3359.11698
687.096774,1000,3402.923082
451.50241,992,3468.443808
885.130112,1000,3507.025282
725.072886,1000,3546.161797
713.114754,1000,3585.089843
812.162162,1000,3624.155153
882.394366,1000,3663.265454
687.375415,1000,3723.239511
905.1,949,3760.35126
711.643836,1000,3799.224468
613.855422,1000,3838.361626
911.1,889,3873.19311
880.842912,1000,3912.315654
581.559431,979,3950.547826
870.695971,1000,4014.022662
821.501706,1000,4053.218973
855.223881,1000,4092.434806
326.991892,900,4127.795208
861.805556,1000,4167.406684
910.1,899,4201.753909
867.97153,1000,4265.085587
